"grdc_no","wmo_reg","sub_reg","river","station","country","latitude","longitude","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr"
"1563600","1","63","GUDLA","NEAR DEMBCHA","ET","10.55","37.5","242","2050","1978","1980","3","0","1978","1980","3","0","1978","1980","3","7.8","0.2459808","1016.449587"
"1563680","1","63","FATTO","NEAR GUDER","ET","8.87","37.72","96","2320","1978","1980","3","0","1978","1980","3","0","1978","1980","3","1.907","0.060139152","626.4495"
"1563700","1","63","GUDER WENZ","GUDER","ET","8.95","37.75","524","2050","1978","1980","3","0","1978","1980","3","0","1978","1980","3","10.059","0.317220624","605.3828702"
"1563750","1","63","BLUE NILE","NEAR THE LAKE TANA","ET","10","37","-999","-999","","","","","1969","1975","7","4.761904762","1969","1975","7","210.591","6.641197776","n.a."
"1563800","1","63","BLUE NILE","KESSIE","ET","11.07","38.18","65784","-999","","","","","1976","1979","4","0","1976","1979","4","464.519","14.64907118","222.6844093"
"1563900","1","63","BERESSA","DEBRE BERHAN","ET","9.67","39.52","211","2750","1978","1980","3","0","1978","1980","3","0","1978","1980","3","2.345","0.07395192","350.4830332"
"1564500","1","64","TEKEZE WENZ","EMBAMADRE","ET","13.73","38.2","45694","-999","","","","","1976","1976","1","0","1976","1976","1","143.719","4.532322384","99.18856708"
"1566100","1","66","BARO","GAMBELLA","ET","8.25","34.58","23461","-999","","","","","1928","1979","52","55.76923077","1928","1979","52","36.625","1.155006","49.23089382"
"1566206","1","66","BARO","D/S BARO-ADURA BIFURCATION","ET","8.367386","33.768355","-999","-999","","","","","1944","1947","4","57.5","1944","1947","4","n.a.","n.a.","n.a."
"1566207","1","66","BARO","U/SBARO-ADURA BIFURCATION","ET","8.3333","33.9333","-999","-999","","","","","1943","1947","5","62.74509804","1943","1947","5","n.a.","n.a.","n.a."
"1566208","1","66","BARO","U/S KHOR MAKWAI HEAD","ET","8.040186","33.762168","-999","-999","","","","","1945","1947","3","59.25925926","1945","1947","3","n.a.","n.a.","n.a."
"1566250","1","66","JIKAWO","AT THE MOUTH","ET","8.3667","33.7833","-999","-999","","","","","1942","1947","6","60.9375","1942","1947","6","n.a.","n.a.","n.a."
"1566255","1","66","BARO","SPILLOUT RIGHT (6.5KM U/S KHOR JOKAU)","ET","8.35","33.8167","-999","-999","","","","","1945","1945","1","0","1945","1945","1","n.a.","n.a.","n.a."
"1566260","1","66","ADURA","AT OFFTAKE FROM BARO","ET","8.387658","33.689268","-999","-999","","","","","1946","1947","2","50","1946","1947","2","n.a.","n.a.","n.a."
"1566261","1","66","ADURA","D/S MAKWAI MOUTH","ET","8.126885","33.542763","-999","-999","","","","","1946","1947","2","60","1946","1947","2","n.a.","n.a.","n.a."
"1566270","1","66","MAKWAI","JUNCTION WITH ADURA","ET","8.1167","33.6167","-999","-999","","","","","1946","1947","2","60","1946","1947","2","n.a.","n.a.","n.a."
"1566500","1","66","PIBOR WENZ","U/S PIBOR-BARO JUNCTION","ET","8.4333","33.2167","-999","-999","","","","","1929","1933","5","6.666666667","1929","1933","5","7.691","0.242543376","n.a."
"1566501","1","66","PIBOR WENZ","D/S MAKWAI MOUTH","ET","8.35","33.2167","-999","-999","","","","","1929","1933","5","16.36363636","1929","1933","5","9.224","0.290888064","n.a."
"1566502","1","66","PIBOR WENZ","U/S MAKWAI MOUTH","ET","8.35","33.2167","-999","-999","","","","","1929","1947","19","72.19730942","1929","1947","19","5.566","0.175529376","n.a."
"1566510","1","66","MACAP, KHOR","AT THE MOUTH","ET","8.4","33.2","-999","-999","","","","","1938","1947","10","69.02654867","1938","1947","10","n.a.","n.a.","n.a."
"1566520","1","66","MAKWAI","AT THE MOUTH","ET","8.35","33.2167","-999","-999","","","","","1929","1947","19","73.42342342","1929","1947","19","n.a.","n.a.","n.a."
"1577050","1","77","HOLETA SHET'","NEAR HOLETTA","ET","9.08","38.52","119","1860","1978","1980","3","0","1978","1980","3","0","1978","1980","3","2.117","0.066761712","561.0227899"
"1577100","1","77","AWASH WENZ","MELKA KUNTIRE","ET","8.7","38.6","4456","1850","1978","2008","31","29.46215667","1978","1980","3","0","1978","2008","31","28.581","0.901330416","202.2734327"
"1577101","1","77","AWASH WENZ","HOMBOLE","ET","8.383333","38.783333","7656","-999","1990","2009","20","0","","","","","1990","2009","20","43.836","1.382412096","180.5658433"
